ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
12583509,JF102047,"01-03-2022 11:15","018XX W 18TH ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1234,12,25,31,6,1164488,1891436,2022,"10-11-2022 16:45",41.85771542,-87.67171062,"(41.857715418, -87.671710623)"
12584052,JF102736,"01-03-2022 12:00","106XX S INDIANA AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,512,5,9,49,6,1179468,1834385,2022,"11-12-2022 15:46",41.70083187,-87.61846646,"(41.700831868, -87.61846646)"
12583554,JF102115,"01-03-2022 12:25","005XX W TAYLOR ST",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,124,1,25,28,6,1173062,1895889,2022,"11-12-2022 15:46",41.86974916,-87.64010713,"(41.869749161, -87.640107132)"
12584264,JF102994,"01-03-2022 15:00","012XX N ARTESIAN AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1423,14,26,24,6,1159852,1908071,2022,"11-12-2022 15:46",41.90346015,-87.68826858,"(41.903460148, -87.688268581)"
12584497,JF103372,"01-03-2022 15:34","001XX S CAMPBELL AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,1125,11,27,28,6,1159774,1899143,2022,"11-12-2022 15:46",41.87896255,-87.68880143,"(41.878962554, -87.688801432)"
12584106,JF102763,"01-03-2022 16:00","020XX N KEELER AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2525,25,35,20,6,1148054,1913171,2022,"10-11-2022 16:45",41.91769032,-87.73147407,"(41.917690324, -87.731474073)"
12583808,JF102523,"01-03-2022 16:30","040XX S PULASKI RD",810,THEFT,"OVER $500",STREET,FALSE,FALSE,815,8,14,57,6,1150346,1877572,2022,"11-12-2022 15:46",41.81995811,-87.72398155,"(41.819958109, -87.723981548)"
12585422,JF103912,"01-03-2022 17:00","026XX W BELMONT AVE",810,THEFT,"OVER $500","RESIDENCE - GARAGE",FALSE,FALSE,1411,14,33,21,6,1158285,1921163,2022,"11-12-2022 15:46",41.93941777,-87.69366581,"(41.939417765, -87.693665808)"
12583837,JF102538,"01-03-2022 17:35","044XX W FULLERTON AVE",810,THEFT,"OVER $500","VEHICLE NON-COMMERCIAL",FALSE,FALSE,2524,25,31,20,6,1146485,1915590,2022,"11-12-2022 15:46",41.92435837,-87.73717691,"(41.924358366, -87.737176907)"
12584245,JF103025,"01-03-2022 18:00","012XX S CANAL ST",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,124,1,11,28,6,1173314,1894672,2022,"11-12-2022 15:46",41.86640404,-87.6392181,"(41.866404039, -87.639218102)"
12586173,JF105315,"01-03-2022 18:15","007XX S CICERO AVE",810,THEFT,"OVER $500","CTA TRAIN",FALSE,FALSE,1533,15,29,25,6,1144505,1896498,2022,"11-12-2022 15:46",41.87200532,-87.74493347,"(41.872005323, -87.744933466)"
12584375,JF103159,"01-03-2022 18:30","005XX N MICHIGAN AVE",810,THEFT,"OVER $500","SMALL RETAIL STORE",FALSE,FALSE,1834,18,42,8,6,1177337,1904048,2022,"11-12-2022 15:46",41.8920421,-87.62416503,"(41.892042096, -87.624165033)"
12584335,JF103134,"01-03-2022 19:00","036XX N BELL AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1921,19,47,5,6,1160716,1924221,2022,"11-12-2022 15:46",41.94775897,-87.68464614,"(41.947758973, -87.684646136)"
12584269,JF102959,"01-03-2022 19:30","076XX N ROGERS AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2422,24,49,1,6,1165155,1950465,2022,"11-12-2022 15:46",42.01967997,-87.66757964,"(42.019679967, -87.667579643)"
12584296,JF102571,"01-03-2022 19:50","014XX W 114TH PL",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2234,22,34,75,6,1168375,1828804,2022,"11-12-2022 15:46",41.68576218,-87.65924494,"(41.685762179, -87.659244944)"
12584495,JF102626,"01-03-2022 20:56","018XX S KARLOV AVE",810,THEFT,"OVER $500",RESIDENCE,FALSE,TRUE,1012,10,24,29,6,1149356,1890665,2022,"11-12-2022 15:46",41.85590624,-87.72727443,"(41.855906242, -87.727274434)"
12585502,JF104475,"01-03-2022 21:00","049XX N MASON AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1622,16,45,11,6,1135521,1932570,2022,"10-11-2022 16:45",41.97115535,-87.77705891,"(41.97115535, -87.777058907)"
12586395,JF105547,"01-03-2022 22:00","098XX S AVENUE J",810,THEFT,"OVER $500","RESIDENCE - PORCH / HALLWAY",FALSE,FALSE,432,4,10,52,6,1202458,1840555,2022,"11-12-2022 15:46",41.71720836,-87.53407738,"(41.717208357, -87.534077382)"
12586791,JF106089,"01-03-2022 23:00","087XX S LOOMIS ST",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,2222,22,21,71,6,1168522,1846828,2022,"11-12-2022 15:46",41.7352197,-87.65818946,"(41.735219696, -87.658189461)"
12584070,JF102666,"01-03-2022 23:27","030XX S KEDVALE AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,TRUE,1031,10,22,30,6,1149199,1884076,2022,"11-12-2022 15:46",41.83782822,-87.72802117,"(41.83782822, -87.728021173)"
